名稱,緯度,經度,網址
儘多屋,35.8258,139.2898,https://mamadaya.com/
奧多摩森林浴場,35.822,139.1172,無網址
二俣尾５丁目高源寺前トイレ,35.8182,139.2023,無網址
沢井３丁目御岳渓谷遊歩道トイレ,35.8053,139.1878,無網址
小澤酒造,35.805,139.1937,http://www.sawanoi-sake.com/
塩船観音寺,35.8047,139.2805,http://www.shiofunekannonji.or.jp/
櫛かんざし美術館,35.8034,139.1968,http://kushikanzashi.jp/
柚木苑地駐車場,35.8031,139.2077,無網址
柚木苑地駐車場トイレ,35.8029,139.2074,無網址
御岳２丁目神路橋トイレ,35.8016,139.1756,無網址
御岳交流センター,35.8014,139.1845,無網址
玉堂美術館,35.8002,139.1841,http://www.gyokudo.jp/guide.html#info
御岳１丁目駐車場,35.7997,139.1852,無網址
御岳1丁目駐車場トイレ,35.7996,139.1853,無網址
御岳苑地駐車場,35.7991,139.1776,無網址
御岳苑地駐車場トイレ,35.799,139.1778,無網址
舊森田家,35.7976,139.533,http://www.city.kiyose.lg.jp/s058/map/020/010/hpg000002836.html
青梅丘陵ハイキングコーストイレ,35.7929,139.2378,無網址
青梅鉄道公園,35.7923,139.2632,https://www.ejrcf.or.jp/ome/
梅郷４丁目駐車場,35.7897,139.2208,無網址
中道梅園トイレ,35.7893,139.2195,無網址
中道梅園,35.7891,139.2201,無網址
昭和レトロ商品博物館,35.7886,139.2605,無網址
木原梅園,35.7885,139.219,無網址
梅郷４丁目梅郷ゴルフ前トイレ,35.786,139.2158,無網址
武蔵御嶽神社,35.7829,139.1499,http://musashimitakejinja.jp/
清瀨市鄉土博物館,35.7795,139.521,http://www.museum-kiyose.jp/index.html
生涯青春之湯滑滑溫泉,35.7795,139.1921,無網址
都立大泉中央公園,35.7752,139.5982,無網址
中里郷土の森,35.7692,139.6041,無網址
北山公園,35.767,139.4601,無網址
都立光が丘公園,35.7664,139.6295,無網址
稲荷山憩いの森,35.7658,139.6104,無網址
清水山の森,35.7657,139.6082,無網址
稲荷山図書館 昆虫コーナー,35.7654,139.6092,無網址
国宝正福寺地蔵堂（※正福寺境内）,35.7647,139.4595,無網址
正福寺,35.7647,139.4595,無網址
四季の香ローズガーデン,35.7608,139.6258,無網址
土支田農業公園,35.7606,139.6096,無網址
葛飾區山本亭,35.7582,139.8802,http://www.katsushika-kanko.com/yamamoto/
葛飾柴又寅次郎紀念館,35.7574,139.8805,http://www.katsushika-kanko.com/tora/
山田洋次博物館,35.7574,139.8805,http://www.katsushika-kanko.com/yamada-yoji-museum/
都立城北中央公園,35.7559,139.674,無網址
田柄梅林公園,35.7552,139.6326,無網址
大泉交通公園,35.7535,139.5722,無網址
大泉学園ゆめりあホール,35.7502,139.5857,無網址
こどもの森,35.7488,139.6725,無網址
牧野記念庭園,35.7463,139.5856,無網址
石神井観光案内所,35.7436,139.6063,無網址
向山庭園,35.7421,139.6467,無網址
石神井公園ふるさと文化館分室,35.7394,139.5942,無網址
石神井松の風文化公園,35.7394,139.5941,無網址
平成つつじ公園,35.7388,139.6535,無網址
都立石神井公園,35.7384,139.5981,無網址
ねりま観光案内所,35.7382,139.6534,無網址
旧内田家住宅,35.7377,139.6003,無網址
石神井公園ふるさと文化館,35.7374,139.5994,無網址
練馬区立美術館,35.737,139.636,無網址
江原屋敷森緑地,35.7325,139.6726,無網址
豊島区観光情報センター,35.7315,139.7156,無網址
田柄川緑道,35.7314,139.7096,無網址
としま区民センター インフォメーション,35.7302,139.7091,無網址
陽光60瞭望台,35.7294,139.7185,無網址
秋川橋河川公園,35.7292,139.2279,https://www.akirunokanko.com/?p=307
陽光水族館,35.729,139.7201,無網址
たなか舞台芸術スタジオ,35.7279,139.7974,無網址
武蔵関公園,35.7277,139.5678,無網址
北江古田遺跡,35.7274,139.6655,無網址
江古田の森公園,35.7274,139.6655,無網址
秋川渓谷瀬音の湯,35.7272,139.1878,http://www.seotonoyu.jp/
江古田氷川神社,35.7269,139.6664,無網址
朝倉彫塑館,35.7268,139.7686,無網址
東福寺,35.7266,139.6675,無網址
江古田植物化石層発見の地,35.7264,139.6703,無網址
秋川渓谷戸倉体験研修センター 戸倉しろやまテラス,35.7259,139.2037,http://tokura-taiken.jp/
一葉記念館,35.7256,139.7928,無網址
ねぎし三平堂,35.7249,139.7762,無網址
東武博物館,35.7248,139.8195,無網址
書道博物館,35.7246,139.7763,無網址
GLOBAL RING CAFE ,35.7244,139.6862,無網址
御嶽神社,35.7244,139.6321,無網址
旧野方配水塔,35.7243,139.6747,無網址
みずのとう公園,35.7243,139.6747,無網址
醤油屋のしいの木,35.7242,139.665,無網址
山﨑記念中野区立歴史民俗資料館,35.7242,139.665,無網址
皮革産業資料館,35.7239,139.8083,無網址
江古田古戦場の碑,35.7237,139.6709,無網址
整地碑,35.7237,139.6693,無網址
蓮華寺,35.7236,139.6735,無網址
井上円了の墓,35.7236,139.6735,無網址
豊島区立トキワ荘マンガミュージアム,35.7236,139.6889,無網址
丸山塚公園,35.7233,139.6633,無網址
江古田公園,35.7232,139.671,無網址
ふるさと工房五日市,35.7229,139.1791,http://akiruno-furusatokobo.a.la9.jp/index.html
哲学堂公園,35.7227,139.6756,無網址
哲学堂運動施設,35.7227,139.6756,無網址
生フルーツゼリー（フルーツパーラーサンフルール）,35.7227,139.6442,無網址
貞源寺,35.7225,139.6667,無網址
北野神社（松が丘）,35.7223,139.6714,無網址
百観音明治寺,35.7223,139.6639,無網址
かせいチャンモニュメント,35.722,139.6448,無網址
中野みやげ噺（パティスリーふじの木）,35.722,139.6445,無網址
下町風俗資料館付設展示場（旧吉田屋酒店）,35.7213,139.7709,無網址
大名時計博物館,35.7212,139.7663,無網址
鷺宮八幡神社,35.7212,139.638,無網址
福蔵院,35.721,139.6387,無網址
中村彝アトリエ記念館,35.7209,139.7012,https://www/regasu-shinjuku.or.jp/tsune
佐伯祐三アトリエ記念館,35.7208,139.6936,https://www/regasu-shinjuku.or.jp/saeki
禅定院,35.7207,139.6651,無網址
オリーブ橋,35.7205,139.6404,無網址
"沼チョコ、王様ポテト、思い出プリン、バンブー
計４件（手作り菓子アビニヨン）",35.7204,139.6635,無網址
豊島区トキワ荘通りお休み処 ,35.72,139.69,無網址
根津神社,35.7199,139.7626,無網址
ふるさと交流ショップ 台東,35.7197,139.7954,無網址
国際子ども図書館,35.7195,139.7738,無網址
東京藝術大学大学美術館,35.7192,139.7717,無網址
沼袋氷川神社,35.7191,139.6666,無網址
道灌杉,35.7191,139.6666,無網址
黒田記念館,35.7188,139.7733,無網址
東京国立博物館,35.7188,139.7765,無網址
自家製手造りメンチカツ（中島屋精肉店）,35.7188,139.6505,無網址
野方町役場跡,35.7185,139.6531,無網址
第１水辺公園リバーサイドパーク一の谷,35.7185,139.267,https://www.akirunokanko.com/?p=3975
郵票博物館,35.7183,139.7058,無網址
清谷寺,35.7183,139.6588,無網址
旧東京音楽学校奏楽堂,35.7181,139.7731,無網址
二十三夜塔,35.7178,139.6579,無網址
芸術文化財団事務局,35.7177,139.7839,無網址
新道橋,35.7177,139.6634,無網址
東京都美術館,35.7172,139.7729,無網址
東光寺,35.7169,139.6762,無網址
第４水辺公園秋川ふれあいランド,35.7168,139.3169,https://www.akirunokanko.com/?p=3975
国立科学博物館,35.7163,139.7765,無網址
江戸たいとう伝統工芸館,35.7163,139.7939,無網址
上野動物園,35.7162,139.7725,無網址
東京都恩賜上野動物園,35.7161,139.7743,無網址
林芙美子記念館,35.7159,139.6843,https://www/regasu-shinjuku.or.jp/fumiko
ラーメンコテ丸（薬師の大番）,35.7158,139.6716,無網址
平和の森公園,35.7156,139.6623,無網址
平和の森公園多目的運動広場,35.7156,139.6623,無網址
新井薬師公園,35.7155,139.6669,無網址
国立西洋美術館,35.7154,139.7758,無網址
つけそば（麺彩房）,35.7151,139.6652,無網址
淺草寺,35.7149,139.7967,無網址
新井天神北野神社,35.7148,139.6664,無網址
上高田氷川神社,35.7147,139.6765,無網址
桜ケ池不動尊,35.7146,139.677,無網址
東京文化会館,35.7142,139.7753,無網址
「たきび」の歌発祥の地,35.714,139.6745,無網址
新井薬師梅照院,35.7137,139.6678,https://www.araiyakushi.or.jp/
野方第二公園西の地蔵,35.7136,139.657,無網址
浅草観光連盟,35.7135,139.7983,無網址
大和町八幡神社,35.7134,139.6509,無網址
上野之森美術館,35.7127,139.7748,無網址
上野の森美術館,35.7126,139.7748,無網址
キャロットケーキ（Kyle’sGoodFinds）,35.7123,139.6656,無網址
横山大観記念館,35.7122,139.7683,無網址
境妙寺,35.712,139.6796,無網址
浅草文化観光センター,35.7106,139.7965,無網址
下町風俗資料館,35.7103,139.7727,無網址
墨田水族館,35.7102,139.8094,無網址
東京晴空塔,35.71,139.8107,無網址
墨田水族館,35.71,139.8121,無網址
"中野ブロードウェイ商店街
中野サンモール商店街",35.7099,139.6657,https://nakano-broadway.com
肉まん（手作り点心また明日。）,35.7099,139.6657,無網址
吾妻橋,35.7098,139.8066,無網址
なかの芸能小劇場,35.7093,139.6651,無網址
青原寺,35.7092,139.6806,無網址
朱楽菅江の墓,35.7092,139.6806,無網址
中野四季の森公園,35.7091,139.661,無網址
源通寺,35.7089,139.68,無網址
河竹黙阿弥の墓,35.7089,139.68,無網址
いちごのトライフル（クロシェットカフェ）,35.7089,139.6645,無網址
高徳寺,35.7088,139.6797,無網址
新井白石の墓,35.7088,139.6797,無網址
中野の犬屋敷,35.7086,139.6626,無網址
中野史跡碑,35.7086,139.6631,無網址
保善寺,35.7084,139.6768,無網址
松源寺,35.7084,139.6778,無網址
宗清寺,35.7084,139.6773,無網址
龍昌寺,35.7083,139.6774,無網址
上野観光連盟,35.7082,139.7726,無網址
うなぎ燻製（味治）,35.7081,139.6668,無網址
世界のカバン博物館,35.708,139.7953,無網址
北野神社（中野）,35.7078,139.6718,無網址
中野サンプラザ,35.7076,139.6647,https://www.sunplaza.jp/
深辛チキンカレー（BAR＆RESTAURANT天）,35.7073,139.6671,無網址
特製細麺トマトつけスパゲッティー（ビストログラート）,35.7071,139.6861,無網址
柿の種（かきもち処はやしや）,35.7064,139.6826,無網址
小石川後樂園,35.7059,139.7514,無網址
菸草與鹽博物館,35.7058,139.8085,無網址
イリュージョンのナポリタン（BarILLUSIONS）,35.7054,139.668,無網址
なかのZERO,35.7048,139.6714,無網址
城山公園,35.7044,139.6745,無網址
東京巨蛋城遊樂園,35.7043,139.7565,無網址
漱石山房記念館,35.7039,139.7255,https://soseki-museum.jp
紅葉山公園,35.7039,139.6714,無網址
ポケットスクエア,35.7037,139.6625,無網址
ごぼうポタージュのオムライス（kurumari）,35.7031,139.666,https://kurumari.net/
龜戶天神社,35.7023,139.823,無網址
中野氷川神社,35.702,139.6831,無網址
梅若能楽学院会館,35.7016,139.6824,https://umewakanoh.exblog.jp
神田川歌碑,35.7015,139.6869,無網址
亀戸梅屋敷,35.7015,139.8257,https://kameido-umeyashiki.com/
黄玉満（虎月堂）,35.7014,139.6668,無網址
桃園川緑道,35.7007,139.6849,無網址
明徳稲荷神社,35.6991,139.677,無網址
袋物参考館,35.6988,139.7858,無網址
宝仙寺三重塔跡,35.6987,139.6839,無網址
白玉稲荷神社,35.6985,139.6826,無網址
うの花（神宮豆腐総本店）,35.6984,139.6708,無網址
宝仙寺,35.6982,139.6792,無網址
中野町役場跡,35.6982,139.6792,無網址
堀江家の墓所,35.6982,139.6792,無網址
石臼塚,35.6982,139.6792,無網址
山政醤油醸造所（浅田醤油）レンガ塀,35.6981,139.6782,無網址
追分,35.6981,139.6687,無網址
慈眼寺,35.6977,139.6721,無網址
あぶまた味噌,35.6976,139.6752,無網址
アップルパイ、ジンジャー入りバナナブレッド計２件（PINの店）,35.6975,139.667,無網址
手裡劍道場忍者機關屋,35.697,139.7063,無網址
杉山公園,35.6969,139.6671,無網址
日本文具資料館,35.6968,139.7888,無網址
石森製粉の石臼,35.6966,139.6841,無網址
鍋横最中（むさしの玉屋）,35.6962,139.67,無網址
象小屋跡,35.6951,139.6809,無網址
本郷氷川神社,35.6941,139.6734,無網址
本郷道改修記念碑,35.6941,139.6734,無網址
福寿院,35.6941,139.6748,無網址
成願寺,35.6935,139.6821,http://www.nakanojouganji.jp
鍋島家の墓所,35.6935,139.6821,無網址
鈴木九郎宝篋印塔,35.6935,139.6821,無網址
東京都廳第一本廳,35.6912,139.6934,無網址
末広亭,35.6912,139.7059,https://www.suehirotei.com
第六天堂,35.6911,139.682,無網址
正蔵院,35.6888,139.6728,無網址
川住行教の墓所,35.6888,139.6728,無網址
中川船番所資料館,35.6877,139.8463,https://www.kcf.or.jp/nakagawa/
神明氷川神社,35.6868,139.6706,無網址
百度石,35.6868,139.6706,無網址
芭蕉記念館,35.6862,139.794,https://www.kcf.or.jp/basho/
日本銀行金融研究所 貨幣博物館,35.6854,139.7719,無網址
田河水泡・のらくろ館,35.6854,139.8021,https://www.kcf.or.jp/morishita/josetsu/norakuro/
伊東深水と関根正二紹介展示コーナー,35.6854,139.8021,https://www.kcf.or.jp/morishita/josetsu/ito-sekine/
工匠館,35.6854,139.8021,https://www.city.koto.lg.jp/103020/bunkasports/bunka/dento/6369.html
新宿御苑,35.6852,139.7119,無網址
寳福寺,35.6829,139.6633,無網址
多田神社,35.6828,139.6634,無網址
都立清澄庭園,35.6817,139.7959,https://www.tokyo-park.or.jp/teien/contents/index033.html
深川江戸資料館,35.6814,139.8007,https://www.kcf.or.jp/fukagawa/
横綱大鵬顕彰コーナー,35.6814,139.8007,https://www.kcf.or.jp/fukagawa/outline/taiho/
石田波郷記念館,35.6806,139.8319,https://www.kcf.or.jp/sunamachi/josetsu/ishida/
東京都現代美術館,35.6798,139.8082,https://www.mot-art-museum.jp/
聖徳記念絵画館,35.6787,139.7176,http://www.meijijingugaien.jp/art-culture/seitoku-gallery/
三菱一號館美術館,35.6785,139.7633,無網址
旧大石家住宅,35.6748,139.8349,https://www.city.koto.lg.jp/103020/bunkasports/bunka/oishike/6374.html
明治神宮棒球場,35.6746,139.7171,無網址
深川東京モダン館,35.6741,139.7949,http://fukagawatokyo.com/
日比安公園,35.674,139.7581,無網址
明治神社,35.6726,139.6913,無網址
GINZA KABUKIZA,35.6696,139.7677,無網址
明治丸,35.6674,139.7903,https://www.kaiyodai.ac.jp/overview/facilities/meijimaru.html
小津安二郎紹介展示コーナー,35.6673,139.799,https://www.kcf.or.jp/furuishiba/josetsu/ozu/
方舟之丘,35.6671,139.74,無網址
三得利音樂廳,35.6666,139.7414,無網址
六本木新城展望台 東京城市景觀,35.6604,139.729,無網址
濱離宮恩賜庭園,35.6603,139.7656,無網址
東京鐵塔,35.6585,139.7455,無網址
水素情報館 東京スイソミル,35.6564,139.8118,https://www.tokyo-suisomiru.jp/
宇宙天文館澀谷,35.6555,139.6278,無網址
山種美術館,35.6533,139.7138,無網址
夢の島熱帯植物館,35.6513,139.8294,http://www.yumenoshima.jp/botanicalhall/
東京都立第五福竜丸展示館,35.651,139.8263,http://d5f.org/
東京都多摩動物公園,35.6502,139.405,無網址
豊洲市場,35.6442,139.7843,http://www.toyosu-market.or.jp/
葛西臨海公園,35.6422,139.8624,無網址
葛西臨海水族園,35.6399,139.8645,無網址
東京臨海広域防災公園 そなエリア東京,35.6355,139.7941,http://www.tokyorinkai-koen.jp/sonaarea/
目黑寄生蟲館,35.6337,139.7082,無網址
東京都虹の下水道館,35.6335,139.7843,https://www.nijinogesuidoukan.jp/
東京都水の科学館,35.6308,139.7856,http://www.mizunokagaku.jp/
高尾599博物館,35.6304,139.2687,無網址
東京ビッグサイト,35.6299,139.7942,http://www.bigsight.jp/
高尾山,35.6296,139.2502,無網址
東京JOYPOLIS,35.6288,139.7753,無網址
Maxell Aqua Park品川,35.6279,139.7351,無網址
富士電視台,35.6269,139.7744,無網址
三麗鷗彩虹樂園,35.6257,139.4314,無網址
日本科學未來館,35.6197,139.7781,無網址
日本科学未来館,35.6194,139.7764,https://www.miraikan.jst.go.jp/
東京臨海部広報展示室 TOKYO ミナトリエ,35.6177,139.7786,http://www.tokyo-minatorie.com/
等等力溪谷,35.6045,139.6461,無網址
品川水族館,35.5886,139.7374,無網址
清瀨市立清瀨金山綠地公園,35.4721,139.3121,http://www.city.kiyose.lg.jp/shisetsu/sportssisetukouen/kouennakazato/1001335.html
清瀨細流公園,35.47,139.3038,http://www.city.kiyose.lg.jp/shisetsu/sportssisetukouen/kouenkamikiyoto/1001304.html
愛島中心御神火溫泉,34.7561,139.3518,無網址
伊豆大島火山博物館,34.744,139.3601,無網址
御藏島,33.8813,139.619,無網址
ふれあい牧場,33.1313,139.7672,無網址
國立科學博物館,24.1571,120.6684,無網址
