line_name_h,lon,lat
名鉄広見線,137.0290 ,35.4178 
名鉄小牧線,136.9396 ,35.2963 
名鉄モンキーパークモノレール線,136.9512 ,35.3906 
名鉄竹鼻線,136.7325 ,35.3494 
名鉄羽島線,136.6931 ,35.3140 
近鉄難波線,135.5272 ,34.6634 
近鉄橿原線,135.7855 ,34.5967 
近鉄南大阪線,135.6531 ,34.5725 
近鉄養老線,136.6320 ,35.2592 
近鉄大阪線,135.8721 ,34.6156 
近鉄伊賀線,136.1393 ,34.7334 
近鉄吉野線,135.7945 ,34.4294 
近鉄湯の山線,136.5444 ,34.9942 
近鉄山田線,136.5903 ,34.5698 
近鉄鳥羽線,136.7727 ,34.4838 
近鉄天理線,135.8037 ,34.6028 
近鉄道明寺線,135.6220 ,34.5801 
内部線,136.6051 ,34.9495 
八王子線,136.6078 ,34.9582 
近鉄志摩線,136.8269 ,34.4032 
近鉄生駒線,135.7029 ,34.6541 
近鉄田原本線,135.7435 ,34.5746 
近鉄御所線,135.7249 ,34.4880 
近鉄鈴鹿線,136.5828 ,34.8780 
近鉄奈良線,135.6904 ,34.6877 
近鉄信貴線,135.6326 ,34.6251 
近鉄長野線,135.5987 ,34.5005 
近鉄けいはんな線,135.6759 ,34.6989 
近鉄西信貴鋼索線,135.6480 ,34.6177 
近鉄京都線,135.7856 ,34.8540 
近鉄生駒鋼索線,135.6888 ,34.6858 
近鉄名古屋線,136.6439 ,34.9431 
南海本線,135.3620 ,34.4954 
南海空港線,135.2841 ,34.4231 
南海和歌山港線,135.1551 ,34.2314 
南海高師浜線,135.4387 ,34.5307 
南海加太線,135.1256 ,34.2644 
南海多奈川線,135.1448 ,34.3184 
南海高野線,135.5433 ,34.4653 
南海高野山ケーブル,135.5799 ,34.2316 
南海汐見橋線,135.4864 ,34.6484 
京阪本線,135.6706 ,34.8496 
京阪宇治線,135.7869 ,34.9190 
京阪交野線,135.6679 ,34.7940 
京阪鴨東線,135.7722 ,35.0231 
京阪鋼索線,135.6997 ,34.8833 
京阪石山坂本線,135.8737 ,35.0214 
京阪京津線,135.8352 ,35.0056 
京阪中之島線,135.5004 ,34.6934 
阪急神戸本線,135.3536 ,34.7358 
阪急宝塚本線,135.4343 ,34.7861 
阪急京都本線,135.6107 ,34.8605 
阪急今津線,135.3547 ,34.7707 
阪急甲陽線,135.3288 ,34.7528 
阪急伊丹線,135.4146 ,34.7701 
阪急箕面線,135.4602 ,34.8230 
阪急千里線,135.5134 ,34.7709 
阪急嵐山線,135.6911 ,34.9965 
阪神本線,135.3388 ,34.7271 
阪神なんば線,135.4542 ,34.6944 
阪神武庫川線,135.3792 ,34.7122 
西鉄天神大牟田線,130.4695 ,33.3374 
西鉄太宰府線,130.5255 ,33.5108 
西鉄甘木線,130.6000 ,33.3746 
西鉄貝塚線,130.4465 ,33.7120 
札幌市営地下鉄東西線,141.3773 ,43.0565 
札幌市営地下鉄南北線,141.3433 ,43.0645 
札幌市営地下鉄東豊線,141.3731 ,43.0720 
札幌市電 一条・山鼻軌道線,141.3442 ,43.0468 
函館市電２系統,140.7474 ,41.7805 
函館市電５系統,140.7437 ,41.7796 
北海道ちほく高原鉄道ふるさと銀河線,143.6400 ,43.4229 
道南いさりび鉄道線,140.5859 ,41.7293 
津軽鉄道線,140.4475 ,40.8919 
弘南鉄道弘南線,140.5487 ,40.6118 
弘南鉄道大鰐線,140.5091 ,40.5602 
十和田観光電鉄,141.2927 ,40.6434 
いわて銀河鉄道線,141.1881 ,40.0497 
青い森鉄道線,141.0522 ,40.6632 
三陸鉄道北リアス線,141.8598 ,39.9134 
三陸鉄道リアス線,141.8071 ,39.6823 
秋田内陸縦貫鉄道秋田内陸線,140.4689 ,39.9176 
由利高原鉄道鳥海山ろく線,140.0944 ,39.3150 
山形鉄道フラワー長井線,140.0824 ,38.1261 
くりはら田園鉄道線,141.0333 ,38.8157 
阿武隈急行線,140.6629 ,37.9192 
仙台市営地下鉄南北線,140.8800 ,38.2763 
仙台市営地下鉄東西線,140.8882 ,38.2611 
福島交通飯坂線,140.4532 ,37.7952 
会津鉄道会津線,139.8480 ,37.2868 
仙台空港鉄道仙台空港線,140.9058 ,38.1618 
都営大江戸線,139.7137 ,35.7075 
都営浅草線,139.7586 ,35.6623 
都営三田線,139.7032 ,35.7188 
都営新宿線,139.8094 ,35.6892 
都営都電荒川線,139.7189 ,35.7118 
日暮里・舎人ライナー,139.7695 ,35.7818 
秩父鉄道秩父本線,139.2068 ,36.1010 
埼玉高速鉄道線,139.7270 ,35.8423 
いすみ鉄道いすみ線,140.2913 ,35.2674 
首都圏新都市鉄道つくばエクスプレス,139.9375 ,35.9058 
みなとみらい21線,139.6361 ,35.4557 
ゆりかもめ東京臨海新交通臨海線,139.7749 ,35.6429 
わたらせ渓谷鐵道わたらせ渓谷線,139.3508 ,36.5332 
山万ユーカリが丘線,140.1530 ,35.7309 
伊豆箱根鉄道大雄山線,139.1309 ,35.2894 
ひたちなか海浜鉄道湊線,140.5730 ,36.3715 
横浜市高速鉄道1号線・3号線,139.5515 ,35.4878 
横浜市高速鉄道4号線,139.5869 ,35.5472 
横浜新都市交通金沢シーサイドライン,139.6311 ,35.3622 
関東鉄道常総線,139.9901 ,36.1199 
関東鉄道竜ヶ崎線,140.1573 ,35.9189 
江ノ島電鉄線,139.5124 ,35.3261 
埼玉新都市交通伊奈線,139.6163 ,35.9627 
鹿島鉄道線,140.3911 ,36.1590 
鹿島臨海鉄道大洗鹿島線,140.5428 ,36.1873 
芝山鉄道線,140.3924 ,35.7636 
小湊鉄道線,140.1274 ,35.3958 
湘南モノレール,139.5102 ,35.3322 
上信電鉄,138.9156 ,36.2662 
上毛電気鉄道上毛線,139.1912 ,36.4170 
新京成電鉄新京成線,139.9704 ,35.7591 
真岡鐵道真岡線,140.0427 ,36.4450 
千葉都市モノレール１号線,140.1131 ,35.6083 
千葉都市モノレール２号線,140.1411 ,35.6264 
流鉄流山線,139.9120 ,35.8379 
多摩都市モノレール線,139.4217 ,35.6974 
銚子電気鉄道線,140.8474 ,35.7191 
東京モノレール羽田空港線,139.7633 ,35.5910 
東京臨海高速鉄道りんかい線,139.7661 ,35.6237 
東葉高速鉄道東葉高速線,140.0380 ,35.7191 
箱根登山鉄道鉄道線,139.0995 ,35.2460 
北総鉄道北総線,140.0378 ,35.7835 
野岩鉄道会津鬼怒川線,139.7013 ,36.9873 
箱根登山鉄道鋼索線,139.0414 ,35.2482 
宇都宮芳賀ライトレール線,139.9450 ,36.5548 
富士急行線,138.8608 ,35.5537 
北越急行ほくほく線,138.5910 ,37.1397 
しなの鉄道線,138.3174 ,36.4194 
北しなの線,138.2105 ,36.7553 
上田電鉄別所線,138.2109 ,36.3763 
長野電鉄長野線,138.3043 ,36.7019 
長野電鉄屋代線,138.2119 ,36.5992 
アルピコ交通上高地線,137.8974 ,36.2137 
富山地鉄本線,137.3898 ,36.7899 
富山地鉄立山線,137.3706 ,36.6326 
富山地鉄不二越・上滝線,137.2525 ,36.6550 
神岡鉄道神岡線,137.2728 ,36.4043 
黒部峡谷鉄道本線,137.6293 ,36.7714 
富山地鉄市内線,137.2105 ,36.6875 
富山地鉄富山都心線,137.2129 ,36.6955 
万葉線,137.0520 ,36.7687 
富山港線,137.2341 ,36.7612 
北陸鉄道石川線,136.6276 ,36.5075 
北陸鉄道浅野川線,136.6412 ,36.6110 
日本海ひすいライン,138.0056 ,37.0928 
妙高はねうまライン,138.0056 ,37.0928 
あいの風とやま鉄道線,137.2146 ,36.6842 
IRいしかわ鉄道株式会社,136.6000 ,36.5000 
のと鉄道七尾線,136.9044 ,37.1245 
えちぜん鉄道勝山永平寺線,136.3514 ,36.0864 
えちぜん鉄道三国芦原線,136.1920 ,36.1628 
福井鉄道福武線,136.2068 ,36.0108 
ハピラインふくい線,136.3000 ,36.0000 
伊豆急行線,139.0416 ,34.8244 
伊豆箱根鉄道駿豆線,138.9316 ,35.0566 
岳南鉄道線,138.7141 ,35.1596 
静岡鉄道静岡清水線,138.4391 ,34.9982 
天竜浜名湖鉄道天竜浜名湖線,137.7305 ,34.8278 
遠州鉄道鉄道線,137.7762 ,34.7816 
大井川鐵道大井川本線,138.1073 ,34.9697 
大井川鐵道井川線,138.1618 ,35.1682 
西名古屋港線,136.8651 ,35.1254 
東海交通事業城北線,136.8967 ,35.2293 
愛知環状鉄道線,137.1222 ,35.1213 
東部丘陵線,137.0600 ,35.1712 
名古屋市営地下鉄東山線,136.9226 ,35.1691 
名古屋市営地下鉄名城線,136.9329 ,35.1605 
名古屋市営地下鉄名港線,136.8897 ,35.1251 
名古屋市営地下鉄鶴舞線,136.9361 ,35.1710 
名古屋市営地下鉄桜通線,136.9382 ,35.1407 
名古屋市営地下鉄上飯田線,136.9297 ,35.2012 
桃花台新交通,136.9586 ,35.2982 
豊橋鉄道渥美線,137.3304 ,34.7035 
豊橋鉄道東田本線,137.4058 ,34.7650 
豊橋鉄道運動公園前線,137.4221 ,34.7619 
ガイドウェイバス志段味線,136.9612 ,35.2056 
明知鉄道明知線,137.4120 ,35.3828 
長良川鉄道越美南線,136.9272 ,35.7101 
樽見鉄道樽見線,136.6283 ,35.5152 
三岐鉄道三岐線,136.5441 ,35.0875 
三岐鉄道北勢線,136.5985 ,35.0946 
伊勢鉄道伊勢線,136.5524 ,34.8339 
伊賀鉄道伊賀線,136.1396 ,34.7334 
養老鉄道養老線,136.6224 ,35.2660 
近江鉄道本線,136.2110 ,35.1550 
近江鉄道多賀線,136.2677 ,35.2333 
近江鉄道八日市線,136.1504 ,35.1110 
信楽高原鐵道信楽線,136.0938 ,34.9132 
嵯峨野観光線,135.6517 ,35.0216 
叡山電鉄叡山本線,135.7909 ,35.0500 
叡山電鉄鞍馬線,135.7790 ,35.0862 
宮福線,135.1451 ,35.4267 
宮豊線,135.0215 ,35.5801 
宮舞線,135.2655 ,35.4997 
京都市営地下鉄烏丸線,135.7656 ,35.0163 
京都市営地下鉄東西線,135.7661 ,34.9792 
京福電鉄嵐山本線,135.7103 ,35.0127 
京福電鉄北野線,135.7124 ,35.0259 
北大阪急行電鉄,135.4955 ,34.7899 
泉北高速鉄道線,135.4892 ,34.5093 
水間鉄道水間線,135.3691 ,34.4280 
高速電気軌道第1号線,135.5118 ,34.6746 
高速電気軌道第2号線,135.5527 ,34.6757 
高速電気軌道第3号線,135.4937 ,34.6579 
高速電気軌道第4号線,135.4957 ,34.6678 
高速電気軌道第5号線,135.5153 ,34.6767 
高速電気軌道第6号線,135.5083 ,34.6776 
高速電気軌道第7号線,135.5382 ,34.6927 
高速電気軌道第8号線,135.5502 ,34.7178 
大阪市高速電気軌道南港ポートタウン線,135.4409 ,34.6284 
大阪モノレール線,135.5245 ,34.7891 
国際文化公園都市線,135.5271 ,34.8308 
阪堺電軌上町線,135.5042 ,34.6275 
阪堺電軌阪堺線,135.4809 ,34.5989 
神戸高速東西線,135.1727 ,34.6780 
神戸高速南北線,135.1674 ,34.6779 
神鉄有馬線,135.1851 ,34.7525 
神鉄三田線,135.2221 ,34.8501 
神鉄公園都市線,135.2068 ,34.8957 
神鉄粟生線,135.0190 ,34.7946 
神戸市営地下鉄北神線,135.1714 ,34.7617 
山陽電鉄本線,134.8841 ,34.7473 
山陽電鉄網干線,134.6290 ,34.7962 
能勢電鉄妙見線,135.4238 ,34.8723 
能勢電鉄日生線,135.4027 ,34.9008 
三木鉄道三木線,134.9391 ,34.7986 
北条鉄道北条線,134.8639 ,34.8950 
智頭急行智頭線,134.3268 ,35.0944 
神戸市営地下鉄西神線,135.0689 ,34.6831 
神戸市営地下鉄山手線,135.1715 ,34.6803 
神戸市営地下鉄海岸線,135.1689 ,34.6707 
神戸新交通ポートアイランド線,135.2126 ,34.6703 
神戸新交通六甲アイランド線,135.2678 ,34.7030 
紀州鉄道線,135.1561 ,33.8954 
和歌山電鐵貴志川線,135.2408 ,34.2293 
若桜鉄道若桜線,134.3024 ,35.3790 
一畑電車北松江線,132.8972 ,35.4577 
一畑電車大社線,132.7303 ,35.3896 
水島臨海鉄道水島本線,133.7479 ,34.5642 
井原鉄道井原線,133.5575 ,34.6167 
岡山電軌東山本線,133.9316 ,34.6624 
岡山電軌清輝橋線,133.9240 ,34.6586 
広島短距離交通瀬野線,132.5933 ,34.4275 
広島高速交通広島新交通1号線,132.4336 ,34.4391 
広電１号線(宇品線),132.4635 ,34.3801 
広電２号線(宮島線),132.3858 ,34.3715 
広電３号線,132.4524 ,34.3815 
広電５号線(皆実線),132.4677 ,34.3781 
広電６号線(江波線),132.4543 ,34.3886 
広電７号線,132.4529 ,34.3830 
広電８号線(横川線),132.4428 ,34.3912 
広電９号線(白島線),132.4642 ,34.4008 
錦川鉄道錦川清流線,132.0590 ,34.2074 
阿佐海岸鉄道阿佐東線,134.3113 ,33.5735 
琴電琴平線,133.9621 ,34.2621 
琴電長尾線,134.0974 ,34.3070 
琴電志度線,134.1166 ,34.3452 
伊予鉄道郡中線,132.7298 ,33.8085 
伊予鉄道高浜線,132.7277 ,33.8637 
伊予鉄道横河原線,132.8235 ,33.8126 
伊予鉄道１系統,132.7622 ,33.8449 
伊予鉄道２系統,132.7627 ,33.8438 
伊予鉄道３系統,132.7723 ,33.8430 
伊予鉄道５系統,132.7686 ,33.8436 
伊予鉄道６系統,132.7695 ,33.8481 
土佐くろしお鉄道中村線,133.0499 ,33.0947 
土佐くろしお鉄道宿毛線,132.8311 ,32.9626 
土佐くろしお鉄道ごめん・なはり線,133.8252 ,33.5160 
土佐電鉄ごめん線,133.5993 ,33.5686 
土佐電鉄伊野線,133.4919 ,33.5524 
土佐電鉄桟橋線,133.5466 ,33.5525 
甘木鉄道,130.5882 ,33.4162 
平成筑豊鉄道伊田線,130.7604 ,33.7009 
平成筑豊鉄道糸田線,130.7887 ,33.6591 
平成筑豊鉄道田川線,130.9010 ,33.6660 
平成筑豊鉄道門司港レトロ観光線,130.9659 ,33.9527 
福岡市営地下鉄空港線,130.3838 ,33.5936 
福岡市営地下鉄箱崎線,130.4171 ,33.6148 
福岡市営地下鉄七隈線,130.3668 ,33.5671 
北九州高速鉄道,130.8735 ,33.8561 
筑豊電気鉄道線,130.7320 ,33.8243 
松浦鉄道西九州線(有田～伊万里),129.8679 ,33.2289 
松浦鉄道西九州線(伊万里～佐世保),129.7346 ,33.2834 
島原鉄道線,130.1920 ,32.7683 
長崎電軌１系統,129.8684 ,32.7687 
長崎電軌３系統,129.8705 ,32.7682 
長崎電軌４系統,129.8842 ,32.7476 
長崎電軌５系統,129.8816 ,32.7455 
熊本電鉄本線,130.7298 ,32.8506 
熊本電鉄上熊本線,130.7091 ,32.8236 
南阿蘇鉄道高森線,131.0451 ,32.8439 
くま川鉄道湯前線,130.8811 ,32.2391 
肥薩おれんじ鉄道線,130.3914 ,32.1684 
熊本市電Ａ系統,130.7221 ,32.7910 
熊本市電Ｂ系統,130.7203 ,32.7980 
鹿児島市電１系統,130.5431 ,31.5637 
鹿児島市電２系統,130.5507 ,31.5815 
沖縄都市モノレール線,127.6881 ,26.2123 
