名稱,市町村名,緯度,經度,施設URL
都営地下鉄大江戸線 本郷三丁目,文京区,35.7075 ,139.7605 ,https://www.kotsu.metro.tokyo.jp/subway/stations/hongo-sanchome.html
都営地下鉄大江戸線 上野御徒町,台東区,35.7079 ,139.7734 ,https://www.kotsu.metro.tokyo.jp/subway/stations/ueno-okachimachi.html
都営地下鉄大江戸線 新御徒町,台東区,35.7070 ,139.7822 ,https://www.kotsu.metro.tokyo.jp/subway/stations/shin-okachimachi.html
都営地下鉄大江戸線 蔵前,台東区,35.7056 ,139.7922 ,https://www.kotsu.metro.tokyo.jp/subway/stations/kuramae.html
都営地下鉄大江戸線 両国,墨田区,35.6968 ,139.7975 ,https://www.kotsu.metro.tokyo.jp/subway/stations/ryogoku.html
都営地下鉄大江戸線 森下,江東区,35.6879 ,139.7983 ,https://www.kotsu.metro.tokyo.jp/subway/stations/morishita.html
都営地下鉄大江戸線 清澄白河,江東区,35.6824 ,139.7988 ,https://www.kotsu.metro.tokyo.jp/subway/stations/kiyosumi-shirakawa.html
都営地下鉄大江戸線 門前仲町,江東区,35.6728 ,139.7951 ,https://www.kotsu.metro.tokyo.jp/subway/stations/monzen-nakacho.html
都営地下鉄大江戸線 月島,中央区,35.6638 ,139.7839 ,https://www.kotsu.metro.tokyo.jp/subway/stations/tsukishima.html
都営地下鉄大江戸線 勝どき,中央区,35.6589 ,139.7771 ,https://www.kotsu.metro.tokyo.jp/subway/stations/kachidoki.html
都営地下鉄大江戸線 築地市場,中央区,35.6649 ,139.7669 ,https://www.kotsu.metro.tokyo.jp/subway/stations/tsukijishijo.html
都営地下鉄大江戸線 汐留,港区,35.6632 ,139.7602 ,https://www.kotsu.metro.tokyo.jp/subway/stations/shiodome.html
都営地下鉄大江戸線 大門,港区,35.6567 ,139.7557 ,https://www.kotsu.metro.tokyo.jp/subway/stations/daimon.html
都営地下鉄大江戸線 赤羽橋,港区,35.6550 ,139.7440 ,https://www.kotsu.metro.tokyo.jp/subway/stations/akabanebashi.html
都営地下鉄大江戸線 麻布十番,港区,35.6564 ,139.7363 ,https://www.kotsu.metro.tokyo.jp/subway/stations/azabu-juban.html
都営地下鉄大江戸線 六本木,港区,35.6641 ,139.7314 ,https://www.kotsu.metro.tokyo.jp/subway/stations/roppongi.html
都営地下鉄大江戸線 青山一丁目,港区,35.6731 ,139.7239 ,https://www.kotsu.metro.tokyo.jp/subway/stations/aoyama-itchome.html
都営地下鉄大江戸線 国立競技場,新宿区,35.6799 ,139.7147 ,https://www.kotsu.metro.tokyo.jp/subway/stations/kokuritsu-kyogijo.html
都営地下鉄大江戸線 代々木,渋谷区,35.6835 ,139.7016 ,https://www.kotsu.metro.tokyo.jp/subway/stations/yoyogi.html
都営地下鉄大江戸線 新宿,渋谷区,35.6885 ,139.6990 ,https://www.kotsu.metro.tokyo.jp/subway/stations/shinjuku.html
都営地下鉄大江戸線 都庁前,新宿区,35.6906 ,139.6927 ,https://www.kotsu.metro.tokyo.jp/subway/stations/tochomae.html
都営地下鉄大江戸線 西新宿五丁目,新宿区,35.6899 ,139.6845 ,https://www.kotsu.metro.tokyo.jp/subway/stations/nishi-shinjuku-gochome.html
都営地下鉄大江戸線 中野坂上,中野区,35.6979 ,139.6829 ,https://www.kotsu.metro.tokyo.jp/subway/stations/nakano-sakaue.html
都営地下鉄大江戸線 東中野,中野区,35.7072 ,139.6831 ,https://www.kotsu.metro.tokyo.jp/subway/stations/higashi-nakano.html
都営地下鉄大江戸線 中井,新宿区,35.7139 ,139.6863 ,https://www.kotsu.metro.tokyo.jp/subway/stations/nakai.html
都営地下鉄大江戸線 落合南長崎,新宿区,35.7234 ,139.6834 ,https://www.kotsu.metro.tokyo.jp/subway/stations/ochiai-minami-nagasaki.html
都営地下鉄大江戸線 新江古田,中野区,35.7326 ,139.6705 ,https://www.kotsu.metro.tokyo.jp/subway/stations/shin-egota.html
都営地下鉄大江戸線 練馬,練馬区,35.7374 ,139.6548 ,https://www.kotsu.metro.tokyo.jp/subway/stations/nerima.html
都営地下鉄大江戸線 豊島園,練馬区,35.7417 ,139.6491 ,https://www.kotsu.metro.tokyo.jp/subway/stations/toshimaen.html
都営地下鉄大江戸線 練馬春日町,練馬区,35.7514 ,139.6403 ,https://www.kotsu.metro.tokyo.jp/subway/stations/nerima-kasugacho.html
都営地下鉄大江戸線 光が丘,練馬区,35.7585 ,139.6289 ,https://www.kotsu.metro.tokyo.jp/subway/stations/hikarigaoka.html
東京,千代田区,35.6812 ,139.7649 ,https://www.jreast.co.jp/estation/barrier-free/
有楽町,千代田区,35.6749 ,139.7606 ,https://www.jreast.co.jp/estation/barrier-free/
新橋,港区,35.666379 ,139.7562 ,https://www.jreast.co.jp/estation/barrier-free/
浜松町,港区,35.6554 ,139.7549 ,https://www.jreast.co.jp/estation/barrier-free/
田町,港区,35.6457 ,139.7454 ,https://www.jreast.co.jp/estation/barrier-free/
品川,港区,35.6285 ,139.7366 ,https://www.jreast.co.jp/estation/barrier-free/
大井町,品川区,35.6076 ,139.7325 ,https://www.jreast.co.jp/estation/barrier-free/
大森,大田区,35.5884 ,139.7257 ,https://www.jreast.co.jp/estation/barrier-free/
蒲田,大田区,35.5625 ,139.7139 ,https://www.jreast.co.jp/estation/barrier-free/
神田,千代田区,35.6918 ,139.7687 ,https://www.jreast.co.jp/estation/barrier-free/
水道橋,千代田区,35.7020 ,139.7513 ,https://www.jreast.co.jp/estation/barrier-free/
飯田橋,千代田区,35.7021 ,139.7428 ,https://www.jreast.co.jp/estation/barrier-free/
信濃町,新宿区,35.6801 ,139.7181 ,https://www.jreast.co.jp/estation/barrier-free/
千駄ヶ谷,渋谷区,35.6810 ,139.7091 ,https://www.jreast.co.jp/estation/barrier-free/
代々木,渋谷区,35.6830 ,139.6999 ,https://www.jreast.co.jp/estation/barrier-free/
大久保,新宿区,35.7012 ,139.6971 ,https://www.jreast.co.jp/estation/barrier-free/
東中野,中野区,35.7062 ,139.6816 ,https://www.jreast.co.jp/estation/barrier-free/
中野,中野区,35.7056 ,139.6636 ,https://www.jreast.co.jp/estation/barrier-free/
高円寺,杉並区,35.7053 ,139.6475 ,https://www.jreast.co.jp/estation/barrier-free/
阿佐ケ谷,杉並区,35.7049 ,139.6333 ,https://www.jreast.co.jp/estation/barrier-free/
荻窪,杉並区,35.7049 ,139.6268 ,https://www.jreast.co.jp/estation/barrier-free/
西荻窪,杉並区,35.7035 ,139.5977 ,https://www.jreast.co.jp/estation/barrier-free/
秋葉原,千代田区,35.6984 ,139.7709 ,https://www.jreast.co.jp/estation/barrier-free/
御徒町,台東区,35.7075 ,139.7727 ,https://www.jreast.co.jp/estation/barrier-free/
上野,台東区,35.7142 ,139.7752 ,https://www.jreast.co.jp/estation/barrier-free/
鶯谷,台東区,35.7215 ,139.7758 ,https://www.jreast.co.jp/estation/barrier-free/
日暮里,荒川区,35.7282 ,139.7685 ,https://www.jreast.co.jp/estation/barrier-free/
西日暮里,荒川区,35.7382 ,139.7521 ,https://www.jreast.co.jp/estation/barrier-free/
田端,北区,35.7382 ,139.7586 ,https://www.jreast.co.jp/estation/barrier-free/
上中里,北区,35.7466 ,139.7448 ,https://www.jreast.co.jp/estation/barrier-free/
王子,北区,35.7532 ,139.7363 ,https://www.jreast.co.jp/estation/barrier-free/
東十条,北区,35.7639 ,139.7247 ,https://www.jreast.co.jp/estation/barrier-free/
赤羽,北区,35.7822 ,139.7092 ,https://www.jreast.co.jp/estation/barrier-free/
尾久,北区,35.7468 ,139.7517 ,https://www.jreast.co.jp/estation/barrier-free/
北赤羽,北区,35.7866 ,139.7040 ,https://www.jreast.co.jp/estation/barrier-free/
浮間舟渡,北区,35.7912 ,139.6892 ,https://www.jreast.co.jp/estation/barrier-free/
三河島,荒川区,35.7332 ,139.7763 ,https://www.jreast.co.jp/estation/barrier-free/
南千住,荒川区,35.7333 ,139.7969 ,https://www.jreast.co.jp/estation/barrier-free/
北千住,足立区,35.7497 ,139.8032 ,https://www.jreast.co.jp/estation/barrier-free/
亀有,葛飾区,35.7665 ,139.8453 ,https://www.jreast.co.jp/estation/barrier-free/
金町,葛飾区,35.7695 ,139.8683 ,https://www.jreast.co.jp/estation/barrier-free/
新日本橋,中央区,35.6890 ,139.7721 ,https://www.jreast.co.jp/estation/barrier-free/
馬喰町,中央区,35.6939 ,139.7809 ,https://www.jreast.co.jp/estation/barrier-free/
八丁堀,中央区,35.6746 ,139.7747 ,https://www.jreast.co.jp/estation/barrier-free/
越中島,江東区,35.6680 ,139.7905 ,https://www.jreast.co.jp/estation/barrier-free/
駒込,豊島区,35.7366 ,139.7448 ,https://www.jreast.co.jp/estation/barrier-free/
巣鴨,豊島区,35.7334 ,139.7371 ,https://www.jreast.co.jp/estation/barrier-free/
大塚,豊島区,35.7318 ,139.7259 ,https://www.jreast.co.jp/estation/barrier-free/
池袋,豊島区,35.7295 ,139.7087 ,https://www.jreast.co.jp/estation/barrier-free/
目白,豊島区,35.7212 ,139.7044 ,https://www.jreast.co.jp/estation/barrier-free/
高田馬場,新宿区,35.7126 ,139.7017 ,https://www.jreast.co.jp/estation/barrier-free/
新宿,新宿区,35.6896 ,139.6984 ,https://www.jreast.co.jp/estation/barrier-free/
原宿,渋谷区,35.6702 ,139.7005 ,https://www.jreast.co.jp/estation/barrier-free/
渋谷,渋谷区,35.6580 ,139.6994 ,https://www.jreast.co.jp/estation/barrier-free/
恵比寿,渋谷区,35.6467 ,139.7079 ,https://www.jreast.co.jp/estation/barrier-free/
目黒,品川区,35.6405 ,139.6976 ,https://www.jreast.co.jp/estation/barrier-free/
五反田,品川区,35.6262 ,139.7214 ,https://www.jreast.co.jp/estation/barrier-free/
大崎,品川区,35.6199 ,139.7260 ,https://www.jreast.co.jp/estation/barrier-free/
十条,北区,35.7603 ,139.7201 ,https://www.jreast.co.jp/estation/barrier-free/
矢野口,稲城市,35.6417 ,139.5183 ,https://www.jreast.co.jp/estation/barrier-free/
稲城長沼,稲城市,35.6443 ,139.5004 ,https://www.jreast.co.jp/estation/barrier-free/
南多摩,稲城市,35.6492 ,139.4873 ,https://www.jreast.co.jp/estation/barrier-free/
府中本町,府中市,35.6662 ,139.4750 ,https://www.jreast.co.jp/estation/barrier-free/
分倍河原,府中市,35.6686 ,139.4666 ,https://www.jreast.co.jp/estation/barrier-free/
西府,府中市,35.6710 ,139.4552 ,https://www.jreast.co.jp/estation/barrier-free/
谷保,国立市,35.6814 ,139.4445 ,https://www.jreast.co.jp/estation/barrier-free/
矢川,国立市,35.6851 ,139.4294 ,https://www.jreast.co.jp/estation/barrier-free/
西国立,立川市,35.6938 ,139.4217 ,https://www.jreast.co.jp/estation/barrier-free/
北府中,府中市,35.6808 ,139.4697 ,https://www.jreast.co.jp/estation/barrier-free/
新小平,小平市,35.7309 ,139.4683 ,https://www.jreast.co.jp/estation/barrier-free/
新秋津,東村山市,35.7781 ,139.4914 ,https://www.jreast.co.jp/estation/barrier-free/
相原,町田市,35.6069 ,139.3295 ,https://www.jreast.co.jp/estation/barrier-free/
八王子みなみ野,八王子市,35.6313 ,139.3288 ,https://www.jreast.co.jp/estation/barrier-free/
片倉,八王子市,35.6397 ,139.3391 ,https://www.jreast.co.jp/estation/barrier-free/
成瀬,町田市,35.5355 ,139.4707 ,https://www.jreast.co.jp/estation/barrier-free/
町田,町田市,35.5355 ,139.4554 ,https://www.jreast.co.jp/estation/barrier-free/
吉祥寺,武蔵野市,35.7031 ,139.5775 ,https://www.jreast.co.jp/estation/barrier-free/
三鷹,三鷹市,35.7027 ,139.5588 ,https://www.jreast.co.jp/estation/barrier-free/
武蔵境,武蔵野市,35.7021 ,139.5415 ,https://www.jreast.co.jp/estation/barrier-free/
東小金井,小金井市,35.7015 ,139.5219 ,https://www.jreast.co.jp/estation/barrier-free/
武蔵小金井,小金井市,35.7011 ,139.5047 ,https://www.jreast.co.jp/estation/barrier-free/
国分寺,国分寺市,35.7001 ,139.4780 ,https://www.jreast.co.jp/estation/barrier-free/
西国分寺,国分寺市,35.6998 ,139.4636 ,https://www.jreast.co.jp/estation/barrier-free/
国立,国立市,35.6992 ,139.4442 ,https://www.jreast.co.jp/estation/barrier-free/
立川,立川市,35.6979 ,139.4116 ,https://www.jreast.co.jp/estation/barrier-free/
日野,日野市,35.6793 ,139.3918 ,https://www.jreast.co.jp/estation/barrier-free/
豊田,日野市,35.6595 ,139.3793 ,https://www.jreast.co.jp/estation/barrier-free/
八王子,八王子市,35.6556 ,139.3367 ,https://www.jreast.co.jp/estation/barrier-free/
西八王子,八王子市,35.6565 ,139.3103 ,https://www.jreast.co.jp/estation/barrier-free/
西立川,立川市,35.7036 ,139.3915 ,https://www.jreast.co.jp/estation/barrier-free/
東中神,昭島市,35.7063 ,139.3826 ,https://www.jreast.co.jp/estation/barrier-free/
中神,昭島市,35.7090 ,139.3737 ,https://www.jreast.co.jp/estation/barrier-free/
昭島,昭島市,35.7135 ,139.3588 ,https://www.jreast.co.jp/estation/barrier-free/
拝島,昭島市,35.7211 ,139.3415 ,https://www.jreast.co.jp/estation/barrier-free/
福生,福生市,35.7424 ,139.3257 ,https://www.jreast.co.jp/estation/barrier-free/
羽村,羽村市,35.7585 ,139.3138 ,https://www.jreast.co.jp/estation/barrier-free/
小作,羽村市,35.7760 ,139.3001 ,https://www.jreast.co.jp/estation/barrier-free/
河辺,青梅市,35.7845 ,139.2825 ,https://www.jreast.co.jp/estation/barrier-free/
青梅,青梅市,35.7901 ,139.2612 ,https://www.jreast.co.jp/estation/barrier-free/
武蔵五日市,あきる野市,35.7323 ,139.2261 ,https://www.jreast.co.jp/estation/barrier-free/
北八王子,八王子市,35.6694 ,139.3612 ,https://www.jreast.co.jp/estation/barrier-free/
小宮,八王子市,35.6855 ,139.3667 ,https://www.jreast.co.jp/estation/barrier-free/
箱根ヶ崎,瑞穂町,35.7715 ,139.3445 ,https://www.jreast.co.jp/estation/barrier-free/
浅草橋,台東区,35.6975 ,139.7838 ,https://www.jreast.co.jp/estation/barrier-free/
両国,墨田区,35.6975 ,139.7772 ,https://www.jreast.co.jp/estation/barrier-free/
錦糸町,墨田区,35.6967 ,139.8123 ,https://www.jreast.co.jp/estation/barrier-free/
亀戸,江東区,35.6973 ,139.8244 ,https://www.jreast.co.jp/estation/barrier-free/
平井,江戸川区,35.7064 ,139.8402 ,https://www.jreast.co.jp/estation/barrier-free/
新小岩,葛飾区,35.7174 ,139.8564 ,https://www.jreast.co.jp/estation/barrier-free/
小岩,江戸川区,35.7333 ,139.8798 ,https://www.jreast.co.jp/estation/barrier-free/
潮見,江東区,35.6587 ,139.8152 ,https://www.jreast.co.jp/estation/barrier-free/
新木場,江東区,35.6459 ,139.8246 ,https://www.jreast.co.jp/estation/barrier-free/
